rpm,time_diff,x
2589.84,20049,21.526480436325073
2589.84,20050,21.526921272277832
2589.84,20051,21.52738928794861
2589.84,20054,21.52957034111023
2589.84,20055,21.530317783355713
2589.84,20056,21.53224205970764
2589.84,20057,21.53288984298706
2589.84,20059,21.534958124160767
2589.84,20060,21.53595733642578
2589.84,20061,21.537734746932983
2589.84,20062,21.53874158859253
2589.84,20064,21.542030811309814
2440.32,20065,21.542600870132446
2440.32,20066,21.54307794570923
2440.32,20067,21.543553829193115
2440.32,20069,21.543993711471558
2440.32,20070,21.54784369468689
2440.32,20071,21.54945659637451
2440.32,20072,21.551000595092773
2440.32,20074,21.551864624023438
2440.32,20075,21.553557872772217
2440.32,20076,21.55397081375122
2440.32,20077,21.554306507110596
2440.32,20079,21.554728507995605
2440.32,20080,21.55671238899231
2440.32,20081,21.558536767959595
2440.32,20082,21.559289932250977
2440.32,20084,21.559744834899902
2440.32,20085,21.560187816619873
2440.32,20086,21.562578439712524
2440.32,20087,21.563122272491455
2440.32,20089,21.565038681030273
2440.32,20090,21.56623649597168
2440.32,20091,21.56769371032715
2440.32,20092,21.568326473236084
2440.32,20094,21.570457458496094
2440.32,20096,21.571121215820312
2440.32,20097,21.573094606399536
2440.32,20098,21.573719263076782
2440.32,20100,21.575932025909424
2440.32,20101,21.577280044555664
2440.32,20102,21.578425407409668
2440.32,20103,21.579020261764526
2440.32,20104,21.57969045639038
2440.32,20106,21.581522226333618
2440.32,20107,21.582854986190796
2440.32,20108,21.584792852401733
2440.32,20109,21.586407899856567
2440.32,20111,21.587555646896362
2440.32,20112,21.58830690383911
2440.32,20113,21.589385509490967
2440.32,20114,21.589946508407593
2440.32,20116,21.592233419418335
2440.32,20117,21.592928171157837
2440.32,20118,21.594887495040894
2440.32,20119,21.595675706863403
2440.32,20121,21.597626447677612
2440.32,20122,21.598509311676025
2440.32,20123,21.599284172058105
2440.32,20124,21.60065269470215
2440.32,20126,21.601665019989014
2440.32,20127,21.604915142059326
2440.32,20128,21.606895446777344
2440.32,20129,21.607455730438232
2440.32,20131,21.607893228530884
2440.32,20132,21.6083927154541
2440.32,20133,21.60881805419922
2440.32,20134,21.611231803894043
2440.32,20136,21.6133291721344
2440.32,20137,21.613867044448853
2440.32,20139,21.61430525779724
2440.32,20140,21.617270946502686
2440.32,20142,21.619335174560547
2440.32,20143,21.620633602142334
2440.32,20144,21.62109112739563
2440.32,20145,21.621532440185547
2440.32,20147,21.622068881988525
2440.32,20148,21.622515439987183
2440.32,20149,21.626864194869995
2440.32,20150,21.62781047821045
2440.32,20152,21.628251552581787
2440.32,20153,21.628666400909424
2440.32,20154,21.63018012046814
2440.32,20155,21.63062882423401
2440.32,20157,21.63324284553528
2440.32,20158,21.63473653793335
2440.32,20159,21.635810375213623
2440.32,20160,21.63631582260132
2440.32,20162,21.638293504714966
2440.32,20163,21.638843774795532
2440.32,20164,21.63929533958435
2440.32,20165,21.641170740127563
2585.04,20166,21.641693592071533
2585.04,20168,21.643858671188354
2585.04,20169,21.644416332244873
2585.04,20170,21.646726369857788
2585.04,20171,21.647575855255127
2585.04,20173,21.649703979492188
2585.04,20174,21.651155471801758
2585.04,20175,21.65218472480774
2585.04,20176,21.652641534805298
2585.04,20178,21.65468668937683
2585.04,20179,21.655285358428955
2585.04,20180,21.65736413002014
2585.04,20182,21.65786075592041
2585.04,20184,21.660125970840454
2585.04,20185,21.660712718963623
2585.04,20186,21.661165475845337
2585.04,20187,21.662933826446533
2585.04,20189,21.663576126098633
2585.04,20190,21.666004180908203
2585.04,20191,21.666576385498047
2585.04,20192,21.668341636657715
2585.04,20194,21.668851613998413
2585.04,20195,21.672255516052246
2585.04,20196,21.674599647521973
2585.04,20197,21.67615509033203
2585.04,20199,21.67672348022461
2585.04,20200,21.677156448364258
2585.04,20201,21.677615642547607
2585.04,20202,21.67917537689209
2585.04,20204,21.67975640296936
2585.04,20205,21.68021249771118
2585.04,20206,21.68222141265869
2585.04,20207,21.684903144836426
2585.04,20209,21.68636202812195
2585.04,20210,21.688814401626587
2585.04,20211,21.689966440200806
2585.04,20212,21.691653966903687
2585.04,20214,21.695303440093994
2585.04,20215,21.697278261184692
2585.04,20216,21.69789171218872
2585.04,20217,21.698667526245117
2585.04,20219,21.69940185546875
2585.04,20220,21.699931383132935
2585.04,20221,21.70038604736328
2585.04,20222,21.700863122940063
2585.04,20225,21.7013738155365
2585.04,20226,21.701815366744995
